config,seed,output_file,log_file,best_solution,time_found,bit_count,selected_size,a_count,c_count,g_count,t_count,count_min1,count_min2,count_min3,count_min4,min_sum,max_sum
legacy_redumis,193,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_193.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_193.txt,134,50021.8,17440,134,198,236,300,338,198,236,300,338,7,19
legacy_redumis,194,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_194.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_194.txt,136,50022.7,17440,136,204,256,288,340,204,256,288,340,8,19
legacy_redumis,195,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_195.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_195.txt,128,50021.5,17440,128,202,238,274,310,202,238,274,310,7,20
legacy_redumis,196,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_196.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_196.txt,136,50022.4,17440,136,206,246,298,338,206,246,298,338,8,20
legacy_redumis,197,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_197.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_197.txt,136,50021.4,17440,136,214,252,292,330,214,252,292,330,6,20
legacy_redumis,198,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_198.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_198.txt,136,50020.8,17440,136,210,238,306,334,210,238,306,334,8,20
legacy_redumis,199,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_199.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_199.txt,136,50016.8,17440,136,204,236,308,340,204,236,308,340,8,19
legacy_redumis,200,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_200.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_200.txt,128,50020.7,17440,128,198,226,286,314,198,226,286,314,7,20
legacy_redumis,201,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_201.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_201.txt,122,10021.3,17440,122,175,215,273,313,175,215,273,313,8,20
legacy_redumis,202,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_202.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_202.txt,132,10024.9,17440,132,180,258,270,348,180,258,270,348,7,19
legacy_redumis,203,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_203.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_203.txt,136,10017.5,17440,136,214,242,302,330,214,242,302,330,8,20
legacy_redumis,204,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_204.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_204.txt,136,10021.6,17440,136,192,240,304,352,192,240,304,352,7,19
legacy_redumis,205,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_205.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_205.txt,124,10026.2,17440,124,176,242,254,320,176,242,254,320,8,20
